day,price_usd,daily_return,rolling_vol_7d
2024-03-18,3520.46,-0.03409050377121914,0.030864209911879055
2024-03-19,3158.64,-0.10277634172806971,0.044011023982707974
2024-03-20,3516.53,0.11330509333130734,0.07018306257960003
2024-03-21,3492.85,-0.0067339109861142,0.06994751902410262
2024-03-22,3336.35,-0.04480581759880897,0.07051231045783019
2024-03-23,3329.53,-0.0020441500442098803,0.06776479293984682
2024-03-24,3454.98,0.03767799058725996,0.06808985681897321
2024-03-25,3590.42,0.03920138466792866,0.06861856595068494
2024-03-26,3587.33,-0.0008606235482200297,0.05036542889724061
2024-03-27,3501.19,-0.024012287690287737,0.030524416736035117
2024-03-28,3560.49,0.016937098529357097,0.030990812872237768
2024-03-29,3509.74,-0.014253656097896639,0.024603459630351734
2024-03-30,3505.64,-0.0011681776997726212,0.024548868817956402
2024-03-31,3645.29,0.03983580744172244,0.02499826662499885
2024-04-01,3503.8,-0.038814470179327265,0.02611164804600684
2024-04-02,3278.96,-0.06417032935669853,0.03471642508501552
2024-04-03,3310.83,0.009719545221655634,0.03514764164348346
2024-04-04,3327.4,0.00500478731919185,0.03404162986099192
2024-04-05,3317.85,-0.0028701087936527925,0.034027466973484397
2024-04-06,3351.59,0.010169236101692514,0.034643033290654705
2024-04-07,3454.2,0.03061531989294619,0.03273824806628976
2024-04-08,3694.61,0.06959932835388805,0.04010126464470705
2024-04-09,3506.39,-0.0509444839915445,0.03624399160126975
2024-04-10,3545.64,0.011193848944355933,0.03624512096029358
2024-04-11,3502.52,-0.012161415146489718,0.03723776681093864
2024-04-12,3237.43,-0.07568550643536653,0.04905657654706543
2024-04-13,3007.01,-0.07117373966386908,0.05485780669560511
2024-04-14,3155.11,0.0492515821364079,0.057763682083984115
2024-04-15,3101.99,-0.01683618003809706,0.04549403999219394
2024-04-16,3084.22,-0.0057285806853020205,0.0441829103450464
2024-04-17,2985.41,-0.032037273605644234,0.04252564178183048
2024-04-18,3064.4,0.026458677367597883,0.0465535389615284
2024-04-19,3056.46,-0.002591045555410565,0.03904005054337485
2024-04-20,3155.79,0.03249838047937814,0.02932433716452116
2024-04-21,3147.67,-0.0025730482700052626,0.02277464751934962
2024-04-22,3200.2,0.01668853469391629,0.022189897289843566
2024-04-23,3219.46,0.006018373851634395,0.021711125492625348
2024-04-24,3140.8,-0.024432668832661375,0.019553085611862607
2024-04-25,3155.8,0.004775853285787113,0.017663916633772883
2024-04-26,3131.3,-0.007763483110463265,0.018104893779742722
2024-04-27,3255.56,0.03968319867147829,0.02010889054549538
2024-04-28,3263.45,0.0024235461794590574,0.019898248431037935
2024-04-29,3216.73,-0.014316137829597397,0.020396108527793454
2024-04-30,3014.05,-0.06300808585115936,0.03129200518344875
2024-05-01,2972.46,-0.013798709377747631,0.0306668738259863
2024-05-02,2986.19,0.004619069726758296,0.030656529738756412
2024-05-03,3102.61,0.03898613283146757,0.0353154276387299
2024-05-04,3117.23,0.0047121616961203205,0.030826798994603825
2024-05-05,3136.41,0.006152898566996967,0.031023580175963322
2024-05-06,3062.6,-0.02353327530520566,0.03166222317826669
2024-05-07,3005.69,-0.018582250375497877,0.021176002840881395
2024-05-08,2974.21,-0.01047346865445209,0.020855135308079555
2024-05-09,3036.23,0.02085259615158308,0.022273835916598095
2024-05-10,2909.99,-0.04157787782875477,0.021115921006811186
2024-05-11,2912.45,0.000845363729772286,0.020747180597345944
2024-05-12,2929.29,0.005782073511991781,0.020701052318662767
2024-05-13,2950.99,0.007407938442421047,0.020514357407135916
2024-05-14,2881.93,-0.02340231583299157,0.021114193532514484
2024-05-15,3032.55,0.05226358724882285,0.030170355176837242
2024-05-16,2944.7,-0.02896901947206154,0.03116322630302978
2024-05-17,3092.01,0.05002546948755415,0.03195215608875024
2024-05-18,3122.94,0.0100032018007703,0.03174291347164615
2024-05-19,3071.19,-0.016570923552805983,0.03337261132262282
2024-05-20,3661.78,0.19230005307388987,0.07750470965323986
2024-05-21,3789.6,0.034906520872362456,0.07337247718329103
2024-05-22,3737.73,-0.013687460417986075,0.07602054203176678
2024-05-23,3783.61,0.012274829910132734,0.07194484201593457
2024-05-24,3728.28,-0.014623600212495425,0.07432359866527934
2024-05-25,3749.26,0.005627259755168534,0.07453037268074982
2024-05-26,3826.47,0.020593397097027122,0.07205872186959265
2024-05-27,3894.22,0.017705613790255814,0.018148607448139682
2024-05-28,3844.69,-0.012718849987930714,0.015545626133979916
2024-05-29,3767.43,-0.020095248251484565,0.016774887306767003
2024-05-30,3747.91,-0.0051812508792465906,0.016148949094179493
2024-05-31,3762.29,0.0038368050460122483,0.015070764268305439
2024-06-01,3815.82,0.014228036647892628,0.015805948760255074
2024-06-02,3780.91,-0.009148754396171799,0.014073024391385735
2024-06-03,3767.06,-0.0036631392971533394,0.011206826681340492
2024-06-04,3810.23,0.011459865253008905,0.012012442141520504
2024-06-05,3865.99,0.014634287169015936,0.00990627113140432
2024-06-06,3813.46,-0.013587722679054948,0.011542219434181643
